URL: /
Timestamp: Wed Apr 10 2024 19:26:10 GMT-0600 (Mountain Daylight Time)

URL: /favicon.ico
Timestamp: Wed Apr 10 2024 19:26:11 GMT-0600 (Mountain Daylight Time)

URL: /documentation
Timestamp: Wed Apr 10 2024 19:26:24 GMT-0600 (Mountain Daylight Time)

URL: /favicon.ico
Timestamp: Wed Apr 10 2024 19:26:24 GMT-0600 (Mountain Daylight Time)

::1 - - [06/May/2024:01:20:18 +0000] "DELETE /users/Jane%20Doe/663186e3a45ed08918abf2b9 HTTP/1.1" 500 1365 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:21:39 +0000] "DELETE /users/Jane%20Doe/663186e3a45ed08918abf2b9 HTTP/1.1" 500 1365 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:22:35 +0000] "DELETE /users/Jane%20Doe/663186e3a45ed08918abf2b9 HTTP/1.1" 500 1365 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:33:14 +0000] "DELETE /users/Jane%20Doe/movies/663186e3a45ed08918abf2b9 HTTP/1.1" 200 185 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:35:13 +0000] "GET /users HTTP/1.1" 201 894 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:37:25 +0000] "DELETE /users/Jack%20Little HTTP/1.1" 200 24 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:39:15 +0000] "PUT /users/Bob%20Johnson HTTP/1.1" 200 4 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:39:58 +0000] "GET /director/Frank%20Darabont HTTP/1.1" 200 156 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:40:12 +0000] "GET /genre/Thriller HTTP/1.1" 200 142 "-" "PostmanRuntime/7.38.0"
::1 - - [06/May/2024:01:40:26 +0000] "GET /movies/The%20Shawshank%20Redemption HTTP/1.1" 200 558 "-" "PostmanRuntime/7.38.0"
